,client_id,pit,recent_successful_repayments,future_bad_probability,available_credit,balance,sum_failed_repayments ,max_failed_repayments,credit_score,external score,credit_inquiries_count,credit_open_balance,years_on_file,max_successful_repayments,missing_report,client_industry_unknown,tag_in_six_months
512,7021,14/06/2017,16319.39216,0.5721670520000001,12978.41947,26976.287819999998,0.0,0.0,668.0,968.0,5.0,73173.0,between 2.5 and 3 years,28.0,0,0,bad
513,9710,7/2/17,8425.121684,0.572164407,3220.367554,26811.63091,0.0,0.0,732.0,1064.0,17.0,439137.0,less than 0.5 year,24.0,0,0,good
516,6451,22/02/2017,5447.387720000001,0.571282967,415.2305296,10140.27176,0.0,0.0,710.0,1031.0,17.0,280617.0,less than 0.5 year,,0,0,bad
517,8119,2/6/17,23.57780882,0.570747794,-1647.908431,6481.136912,783.4888397000001,516.9543305,719.0,1044.5,26.0,282335.0,,,0,1,bad
518,14681,28/12/2016,13746.43754,0.570363456,4912.411437,14934.94456,1109.112738,446.0673916999999,662.0,959.0,17.0,133987.0,between 2 and 2.5 years,,0,0,bad
519,2548,27/03/2017,1243.641901,0.569840063,-1759.482609,11686.41921,1333.979998,327.8058796,630.0,911.0,12.0,223471.0,less than 0.5 year,,0,0,bad
520,45470,26/06/2017,9277.358923,0.569729942,30955.9716,7830.083993000001,0.0,0.0,677.0,981.5,,,between 3 and 5 years,25.0,0,0,good
522,25434,10/10/17,46.45648119,0.56910486,14960.39153,-65.80437472,0.0,0.0,683.0,990.5,5.0,855789.0,between 8 and 10 years,0.0,0,0,good
524,18367,12/3/16,15856.132459999999,0.568884324,5151.667125999999,14498.62663,0.0,0.0,653.0,945.5,19.0,123905.0,between 17 and 20 years,,0,0,bad
528,10430,25/01/2017,6987.560823999999,0.5670827620000001,7851.385531999999,11159.855440000001,0.0,0.0,675.0,978.5,8.0,18285.0,between 1 and 1.5 years,,0,0,bad
530,12016,1/7/17,3626.665074,0.566681058,2449.97203,5881.787281,0.0,0.0,619.0,894.5,22.0,52095.0,between 10 and 12 years,,0,0,bad
531,14407,24/07/2017,12708.469720000001,0.566565361,8610.083782,11276.39402,2694.843542,262.9289457,681.0,987.5,17.0,284723.0,between 6 and 8 years,0.0,0,0,bad
537,38735,19/09/2016,5536.463176,0.563831451,3444.3679490000004,6398.94079,473.20100870000005,470.92042280000004,666.0,965.0,28.0,615988.0,between 17 and 20 years,,0,0,bad
538,10643,7/9/17,13846.85389,0.563213351,10451.47598,30995.50119,5749.956072999999,1101.521293,620.0,896.0,41.0,484086.0,between 0.5 and 1 years,1.0,0,0,bad
539,26019,10/1/17,0.945376963,0.563105756,-855.9611252000001,6964.411153,525.6390615,294.8992283,671.0,972.5,18.0,84856.0,between 0.5 and 1 years,0.0,0,1,bad
541,40122,9/10/16,19938.71992,0.562881185,9450.773367,10509.89975,2925.74901,367.7991336,673.0,975.5,15.0,424313.0,between 3 and 5 years,,0,0,bad
544,3184,13/05/2017,6601.31151,0.5626500489999999,713.4510856,9964.96,0.0,0.0,504.0,722.0,7.0,182713.0,,20.0,0,0,bad
545,16258,8/6/17,5351.723871,0.562517919,2270.98524,17879.3179,2402.145962,801.630262,664.0,962.0,47.0,142793.0,,0.0,0,0,bad
546,10793,29/03/2017,-68.89028847,0.5617623939999999,-744.4940188999999,5662.372121,493.74822350000005,119.0388307,,-34.0,,,,,0,0,bad
547,20357,26/08/2017,3232.358998,0.561625502,4932.649193,6099.148536,4344.367098,328.2779367,627.0,906.5,21.0,761855.0,between 1 and 1.5 years,0.0,0,0,bad
548,27425,9/4/16,11988.47292,0.561422151,15036.977009999999,4882.5536,3488.664148,320.2711624,609.0,879.5,8.0,13100.0,between 0.5 and 1 years,,0,0,bad
549,3231,22/03/2017,15571.58661,0.561282986,7853.413104,11029.84867,0.0,0.0,678.0,983.0,11.0,17494.0,between 2 and 2.5 years,,0,0,bad
550,1046,24/04/2017,5492.945131,0.559379438,1294.361065,13562.97986,887.6987666000001,492.23419299999995,663.0,960.5,17.0,21760.0,between 12 and 14 years,0.0,0,0,bad
552,18836,11/6/16,5370.111336,0.559314632,-2883.030634,22721.25594,174.6211474,60.36019928,670.0,971.0,55.0,1977119.0,between 8 and 10 years,,0,0,bad
555,3865,15/05/2017,3584.6835020000003,0.559028944,6495.25576,3484.6835619999997,294.33763880000004,294.2602794,743.0,1080.5,6.0,785152.0,between 1 and 1.5 years,12.0,0,0,bad
556,9332,27/06/2017,5226.781949,0.558939204,12427.57281,2361.298527,208.12662890000001,206.3505544,664.0,962.0,5.0,95491.0,between 3 and 5 years,17.0,0,0,bad
561,5556,28/03/2017,118.18822560000001,0.557939494,-4626.179838,24566.23684,8920.23893,1209.151708,706.0,1025.0,7.0,28693.0,between 3 and 5 years,,0,0,bad
563,12709,18/07/2017,-30.38766977,0.557827848,-1106.03114,7136.988317,1327.468532,290.5760912,610.0,881.0,18.0,76175.0,,0.0,0,1,bad
567,18968,11/7/16,3716.1914189999998,0.555944876,2252.6187879999998,2645.836217,681.8383452,163.8746165,,-34.0,,,between 12 and 14 years,,0,0,bad
568,6987,17/06/2017,9425.552356999999,0.555710746,-830.8043157000001,20785.2068,12791.750090000001,5697.8055079999995,652.0,944.0,18.0,15922.0,between 1.5 and 2 years,0.0,0,0,bad
570,17701,12/12/16,4185.452599,0.5553860970000001,2587.2245980000002,7555.268115000001,1966.0336309999998,342.4598747,643.0,930.5,4.0,99488.0,between 10 and 12 years,,0,0,bad
571,8439,7/5/17,10877.46785,0.55528891,4378.329778,15732.53292,0.0,0.0,741.0,1077.5,18.0,59856.0,between 3 and 5 years,19.0,0,0,bad
572,36458,27/12/2016,-7.376425059,0.555121386,-1147.195178,11193.659109999999,6931.230453,454.7944976,657.0,951.5,10.0,66630.0,between 1 and 1.5 years,,0,0,bad
574,21142,9/3/17,2481.775713,0.55433404,2287.333338,7667.089275,5023.362164,352.5808952,647.0,936.5,23.0,18167.0,,0.0,0,0,bad
575,17074,22/11/2016,19755.4276,0.55404983,16341.54726,14658.240969999999,1603.4311109999999,226.70556659999997,,-34.0,,,,,0,0,bad
